contactCombination,SumDuration,numOccurences,meanDuration,subscriptionProbability
cellular_mar_mon,27191,121,225,0.4
cellular_mar_tue,33657,127,265,0.6
cellular_mar_wed,13778,62,222,0.6
cellular_mar_thu,21625,91,238,0.5
cellular_mar_fri,23091,84,275,0.5
cellular_apr_mon,162622,660,246,0.1
cellular_apr_tue,61701,224,275,0.3
cellular_apr_wed,84882,270,314,0.3
cellular_apr_thu,236969,716,331,0.3
cellular_apr_fri,177808,575,309,0.1
cellular_may_mon,293035,1155,254,0.1
cellular_may_tue,267232,1007,265,0.1
cellular_may_wed,293564,1117,263,0.1
cellular_may_thu,308033,1128,273,0.1
cellular_may_fri,288169,1111,259,0.1
cellular_jun_mon,54930,219,251,0.4
cellular_jun_tue,65716,245,268,0.4
cellular_jun_wed,46762,157,298,0.5
cellular_jun_thu,26863,94,286,0.5
cellular_jun_fri,25978,105,247,0.4
cellular_jul_mon,355237,1340,265,0.1
cellular_jul_tue,368017,1291,285,0.1
cellular_jul_wed,351525,1225,287,0.1
cellular_jul_thu,381298,1386,275,0.1
cellular_jul_fri,262166,854,307,0.1
cellular_aug_mon,266870,1164,229,0.1
cellular_aug_tue,312463,1252,250,0.1
cellular_aug_wed,283625,1196,237,0.1
cellular_aug_thu,297802,1289,231,0.1
cellular_aug_fri,217406,1008,216,0.1
cellular_sep_mon,22417,68,330,0.4
cellular_sep_tue,27116,99,274,0.6
cellular_sep_wed,35356,103,343,0.6
cellular_sep_thu,33698,108,312,0.5
cellular_sep_fri,29461,104,283,0.4
cellular_oct_mon,23890,99,241,0.4
cellular_oct_tue,29525,110,268,0.5
cellular_oct_wed,37470,105,357,0.5
cellular_oct_thu,37622,139,271,0.4
cellular_oct_fri,32223,110,293,0.5
cellular_nov_mon,151617,665,228,0.1
cellular_nov_tue,169009,731,231,0.1
cellular_nov_wed,219931,791,278,0.1
cellular_nov_thu,221134,813,272,0.1
cellular_nov_fri,157479,676,233,0.1
cellular_dec_mon,15734,43,366,0.4
cellular_dec_tue,7293,21,347,0.7
cellular_dec_wed,8163,26,314,0.7
cellular_dec_thu,14128,41,345,0.5
cellular_dec_fri,6391,18,355,0.4
telephone_mar_mon,4841,21,231,0.4
telephone_mar_tue,3407,13,262,0.5
telephone_mar_wed,2517,8,315,0.3
telephone_mar_thu,1736,8,217,0.1
telephone_mar_fri,2444,10,244,0.6
telephone_apr_mon,9165,42,218,0.1
telephone_apr_tue,8993,28,321,0.4
telephone_apr_wed,6920,30,231,0.4
telephone_apr_thu,12931,52,249,0.3
telephone_apr_fri,9713,35,278,0.2
telephone_may_mon,365077,1487,246,0.0
telephone_may_tue,471825,1802,262,0.0
telephone_may_wed,479959,1806,266,0.0
telephone_may_thu,367360,1409,261,0.0
telephone_may_fri,462646,1747,265,0.0
telephone_jun_mon,243469,1032,236,0.0
telephone_jun_tue,185446,725,256,0.0
telephone_jun_wed,208178,826,252,0.1
telephone_jun_thu,225908,873,259,0.1
telephone_jun_fri,206691,1042,198,0.0
telephone_jul_mon,40174,176,228,0.1
telephone_jul_tue,56424,226,250,0.0
telephone_jul_wed,47328,232,204,0.1
telephone_jul_thu,61356,286,215,0.0
telephone_jul_fri,38034,158,241,0.1
telephone_aug_mon,11353,58,196,0.1
telephone_aug_tue,7777,44,177,0.2
telephone_aug_wed,13077,47,278,0.2
telephone_aug_thu,14530,58,251,0.1
telephone_aug_fri,11054,62,178,0.1
telephone_sep_mon,2581,22,117,0.1
telephone_sep_tue,5081,19,267,0.3
telephone_sep_wed,5826,22,265,0.2
telephone_sep_thu,5435,14,388,0.2
telephone_sep_fri,2721,11,247,0.4
telephone_oct_mon,14412,30,480,0.2
telephone_oct_tue,10480,39,269,0.4
telephone_oct_wed,7036,30,235,0.4
telephone_oct_thu,5519,24,230,0.5
telephone_oct_fri,8871,32,277,0.4
telephone_nov_mon,29445,101,292,0.1
telephone_nov_tue,14911,83,180,0.2
telephone_nov_wed,14667,72,204,0.1
telephone_nov_thu,15442,90,172,0.1
telephone_nov_fri,14619,79,185,0.1
telephone_dec_mon,5223,10,522,0.4
telephone_dec_tue,1016,4,254,0.3
telephone_dec_wed,2130,9,237,0.4
telephone_dec_thu,1523,4,381,0.3
telephone_dec_fri,1300,6,217,0.2
